Minisector,BOR,COL,Fastest
0,244.4627128877598,256.73572172280257,COL
1,138.1994511803677,138.84674300541533,COL
2,274.5233233722809,276.4291351777366,COL
3,305.4675875299171,310.8788863458409,COL
4,291.2580881529751,293.7665360535129,COL
5,308.88565793047303,314.46966110951564,COL
6,308.3051871290964,313.8932492509091,COL
7,306.5474409390784,308.15940595895546,COL
8,199.51373684809104,182.32138971681815,BOR
9,189.9372207046467,191.80084603714758,COL
10,179.30405635077057,167.64531591075354,BOR
11,176.114459946592,169.55237766994384,BOR
12,243.94006400473722,243.7963472292968,BOR
13,262.1266572420876,261.47483901738866,BOR
14,264.0679973092473,259.71632833876146,BOR
15,253.7266071292542,242.65506596242733,BOR
16,176.64867458585258,169.77742846380548,BOR
17,187.63795789871156,186.28874370480654,BOR
18,241.98940586980393,250.26104619246448,COL
19,288.1593054631308,299.2303288498939,COL
20,311.41768504211643,314.93867784200677,COL
21,292.58813625593353,294.22014027533146,COL
22,275.13046397246666,279.7539735203141,COL
23,227.43701860979496,211.96806565585928,BOR
24,123.72381016949863,123.90306621518032,COL
25,221.41666844444447,,BOR
