Minisector,RUS,BOR,Fastest
0,278.0862911631221,282.83424533074975,BOR
1,292.2957573947805,301.9173807475132,BOR
2,275.82296282909095,280.1714120968152,BOR
3,162.63376448296003,158.19100329860893,RUS
4,112.5096786649018,111.7039969239339,RUS
5,243.94814520817772,241.9301784345116,RUS
6,293.6654562574634,283.8993549549206,RUS
7,296.57479907214724,289.28341500040403,RUS
8,170.05325292925752,170.96251766830935,BOR
9,133.64231490002177,137.08262227122253,BOR
10,254.50193493501223,252.25234036307694,RUS
11,292.939840296353,292.81751358535234,RUS
12,293.25016321091465,294.7027063343377,BOR
13,276.58599506981363,265.951081578377,RUS
14,290.23741319947874,283.473106878365,RUS
15,282.67618699364516,278.88153918787503,RUS
16,240.00442614627303,236.11120251114062,RUS
17,222.80438661762406,218.3482366407495,RUS
18,282.7943443650794,281.56725174222225,RUS
19,304.66994704448587,307.07363871255313,BOR
20,301.59751619530823,307.0303713916215,BOR
21,235.33978933634074,218.14017795678706,RUS
22,232.3608654157295,233.4078581485689,BOR
23,134.9017540194843,130.4845931089724,RUS
24,206.78241279284774,207.05275835822758,BOR
25,259.5750016,,RUS
