Minisector,COL,BEA,Fastest
0,265.7201426024955,275.261686188176,BEA
1,118.05072007512078,125.72208120218143,BEA
2,167.73794106303274,160.70066235978848,COL
3,205.2497271825397,202.16325494438584,COL
4,162.58110705024248,156.32273345098287,COL
5,242.15683621933624,228.18165961645346,COL
6,199.9212580035639,200.60516859741622,BEA
7,133.46901265210084,128.18928401470149,COL
8,235.55811428771926,236.58419856700337,BEA
9,290.3669642857143,280.94682276179935,COL
10,283.13681200424344,284.77069264069263,BEA
11,146.7900530944178,148.4369319386174,BEA
12,225.5273742417939,212.6537385439728,COL
13,277.6138889888889,273.2851069848388,COL
14,254.70505952380952,268.6245151779205,BEA
15,101.0306464802917,96.83048282116465,COL
16,227.02044213290824,219.10897724387777,COL
17,293.6075929259281,283.5487175554012,COL
18,317.77710622710623,308.7968649244445,COL
19,325.1915816326531,310.9585317460317,COL
20,328.85502383085714,303.46354878185946,COL
21,271.29067460317464,286.4398668534209,BEA
22,149.8967091873826,158.2634888186654,BEA
23,235.99561403508773,228.99051495619045,COL
24,281.3453047119157,277.0751050420168,COL
25,294.0,282.0,COL
