Minisector,VER,COL,Fastest
0,285.9995265151515,265.7201426024955,VER
1,114.17898827363113,117.43403494498948,COL
2,164.31739417989417,170.57401571930325,COL
3,203.10720126434413,205.2497271825397,COL
4,167.05876668585185,162.58110705024248,VER
5,239.9358134920635,242.15683621933624,COL
6,194.02457189625656,196.17453892008209,COL
7,133.90948491612554,134.18019485367967,COL
8,241.23694971997776,235.55811428771926,VER
9,286.86288515406164,290.3669642857143,COL
10,283.51666666666665,283.13681200424344,VER
11,153.84111360310493,146.7900530944178,VER
12,221.31785047644559,225.5273742417939,COL
13,278.7860812609676,277.9895425777778,VER
14,255.34872534872537,248.8868777056277,VER
15,102.934542764235,99.88545161529777,VER
16,226.45065789473685,229.0649674905033,COL
17,292.72052789752166,294.9580674837986,COL
18,324.34508928571427,317.77710622710623,VER
19,336.3285714285715,325.1915816326531,VER
20,331.5007727953945,328.85502383085714,VER
21,285.3860294117647,266.09774436090225,VER
22,154.8015757136289,149.20797310215175,VER
23,241.71994682016185,235.99561403508773,VER
24,270.59127976190473,282.0483433390315,COL
