Minisector,ANT,HAD,Fastest
0,285.42989293252526,300.5472787591837,HAD
1,292.72037033086417,310.76151997380117,HAD
2,244.97873723980186,231.0392199783619,ANT
3,122.99466022552889,158.7283908799176,HAD
4,127.62331136595566,158.0,HAD
5,252.04480089216932,182.55348790995671,ANT
6,268.7164326189899,268.5317741752066,ANT
7,126.39144341642158,157.20626125995108,HAD
8,250.3817781516883,174.80449988857146,ANT
9,256.4795269953674,247.42432390015966,ANT
10,214.6340009756499,238.27808645501165,HAD
11,151.7047285736341,174.29743648884013,HAD
12,194.26945464224664,132.87423147834986,ANT
13,255.6774873568007,246.0356487678596,ANT
14,124.1788180416055,177.8862913329386,HAD
15,180.7658730414781,120.54615156961718,ANT
16,261.13108808347823,225.9354526978997,ANT
17,309.59850519293445,285.6773619829987,ANT
18,319.8139353952153,325.13808758687657,HAD
19,313.5972782667862,335.8435863810097,HAD
20,307.87177228590826,328.07000136973545,HAD
21,218.5970792347386,316.1655158091811,HAD
22,134.97387323942888,116.5430047840948,ANT
23,191.01165446619072,207.4438846149331,HAD
24,236.07383971878494,183.30332141262787,ANT
25,275.26000128,261.33539951084174,ANT
