Minisector,GAS,SAI,Fastest
0,278.06292610612246,277.11388893121693,GAS
1,299.0,285.66345061052635,GAS
2,234.4683008671605,221.2950541468132,GAS
3,120.19675977895638,110.86716082576883,GAS
4,131.30906031501857,133.65598556002845,SAI
5,240.59986553034014,259.2633159928723,SAI
6,237.29128039415875,242.46509959232574,SAI
7,130.12546128467704,126.97512438402411,GAS
8,249.0495533632834,247.17973595229813,GAS
9,250.89673545256198,244.69330375269752,GAS
10,209.80856711085713,196.04334650202517,GAS
11,138.65258471693554,136.17058095586057,GAS
12,203.27270920496295,207.2759596306158,SAI
13,252.51030215453417,253.37315909089523,SAI
14,112.11614428507959,109.13640828209968,GAS
15,196.6577557611789,186.52602182623275,GAS
16,271.09237978261876,262.2409227710024,GAS
17,309.5103140919728,312.75237072284006,SAI
18,322.6905080470588,334.7543832205755,SAI
19,325.4715789922807,334.59119029960783,SAI
20,321.1273437,325.5792732717949,SAI
21,220.77320291224362,202.59097373144547,GAS
22,121.96814203917137,125.45103141434755,SAI
23,188.93842887777777,180.59382110773743,GAS
24,225.3764500240355,222.98010696853754,GAS
25,,258.0,SAI
