Minisector,HAM,LEC,Fastest
0,298.37089667540783,295.2366656295416,HAM
1,306.3542823407408,301.10728791714286,HAM
2,242.37439470419014,249.02689477579858,LEC
3,121.10864917267364,119.73999249287465,HAM
4,136.9792549591702,131.78139898053948,HAM
5,253.99942829555553,258.4443464977825,LEC
6,259.8513645906418,264.5363315950476,LEC
7,127.162609117771,122.654731103812,HAM
8,241.0930678168116,242.8399878339048,LEC
9,248.65297930433863,248.85413643671495,LEC
10,212.84072773931467,220.43026068301762,LEC
11,141.7055988630088,152.20280044399584,LEC
12,202.45767644,196.56845403751478,HAM
13,256.78743688971196,258.31686837443755,LEC
14,115.74179309492031,120.13682359621978,LEC
15,185.01598895981112,181.0111886771706,HAM
16,264.82394577535354,265.7686544927536,LEC
17,305.9788617529514,306.99517808518107,LEC
18,318.22731240319615,318.07420639879064,HAM
19,311.2785498263036,310.66242825777033,HAM
20,305.8382517734336,305.00608332800005,HAM
21,168.34784298876053,192.39003908393818,LEC
22,139.46078605823732,128.16335148891335,HAM
23,188.9021805857611,194.7517105811299,LEC
24,238.8470909183418,242.82236472332767,LEC
25,281.7,282.10749888,LEC
