Minisector,HAM,SAI,Fastest
0,298.37089667540783,277.11388893121693,HAM
1,306.3542823407408,286.33027808,HAM
2,242.37439470419014,218.1868563126857,HAM
3,121.10864917267364,110.5489125083015,HAM
4,136.9792549591702,134.5782177823547,HAM
5,253.99942829555553,260.23109455550104,SAI
6,259.8513645906418,230.1748542204233,HAM
7,127.162609117771,127.52909805442519,SAI
8,241.0930678168116,247.55175162035295,SAI
9,248.65297930433863,243.87790988081625,HAM
10,212.84072773931467,192.48794332529098,HAM
11,141.7055988630088,135.45294263771086,HAM
12,202.45767644,212.32376351590162,SAI
13,256.78743688971196,250.3355820826455,HAM
14,115.74179309492031,108.42448315719547,HAM
15,185.01598895981112,189.87084941243964,SAI
16,264.82394577535354,267.99368856957136,SAI
17,305.9788617529514,315.9750815370465,SAI
18,318.22731240319615,335.1942524597912,SAI
19,311.2785498263036,333.83612417185185,SAI
20,305.8382517734336,324.95732295757574,SAI
21,168.34784298876053,176.98947650132644,SAI
22,139.46078605823732,139.4211183851853,HAM
23,188.9021805857611,176.5404393289139,HAM
24,238.8470909183418,230.90988361256197,HAM
25,281.7,,HAM
