Minisector,LEC,HAD,Fastest
0,295.2366656295416,300.5472787591837,HAD
1,301.10728791714286,310.2734439751111,HAD
2,249.02689477579858,225.6989183611865,LEC
3,119.73999249287465,158.44074058989898,HAD
4,131.78139898053948,158.0,HAD
5,258.4443464977825,183.32078440714287,LEC
6,264.5363315950476,268.5317741752066,HAD
7,122.654731103812,151.40820870904642,HAD
8,242.8399878339048,191.85959435650798,LEC
9,248.85413643671495,247.85179740612534,LEC
10,219.17404479739633,238.27808645501165,HAD
11,151.20280044399584,173.10313446168234,HAD
12,198.4101845388546,133.63751676289354,LEC
13,258.24908237883596,250.61508106892416,LEC
14,117.38097797242968,161.6628956837107,HAD
15,182.86611429476073,128.0348523787873,LEC
16,266.9384092688186,231.4231293412432,LEC
17,308.0932340343487,289.6818410155298,LEC
18,318.07791671873014,326.5344979095238,HAD
19,310.66242825777033,335.6539635774209,HAD
20,304.9105555504762,327.3000013650125,HAD
21,175.0379698758322,312.17348882960783,HAD
22,137.65695219638476,117.88814583712076,LEC
23,193.06037168285715,212.9681513142516,HAD
24,246.62666467852767,186.99355645639892,LEC
25,,264.9600563342222,HAD
