Minisector,RUS,HAD,Fastest
0,284.8147340088889,300.5472787591837,HAD
1,293.2113636987013,310.2734439751111,HAD
2,237.0925314535619,225.6989183611865,RUS
3,119.90170545376635,158.44074058989898,HAD
4,134.68354066649886,158.0,HAD
5,255.28439038176347,183.32078440714287,RUS
6,245.45435740666667,268.5317741752066,HAD
7,128.7471851587733,151.40820870904642,HAD
8,253.06569482112553,191.85959435650798,RUS
9,255.72391150064024,247.85179740612534,RUS
10,213.04011450484333,238.27808645501165,HAD
11,143.80775041632725,173.10313446168234,HAD
12,204.5259662115654,133.63751676289354,RUS
13,254.0423452584814,250.61508106892416,RUS
14,113.87637156383204,161.6628956837107,HAD
15,192.82342850620898,126.62637997835438,RUS
16,270.9309690867633,230.04820416759347,RUS
17,312.97185719887955,289.6818410155298,RUS
18,323.7016527787862,326.5344979095238,HAD
19,327.2149719502521,335.6539635774209,HAD
20,325.15689887695237,327.3000013650125,HAD
21,190.66381841438192,312.17348882960783,HAD
22,143.34121934017116,116.73509198499097,RUS
23,191.20521988626848,211.75500305302833,HAD
24,231.52879095515516,186.99355645639892,RUS
25,258.0,264.9600563342222,HAD
