Minisector,RUS,PIA,Fastest
0,317.4884799340606,314.2054420209606,RUS
1,323.44306045238096,309.64751586871796,RUS
2,164.02609091444225,158.78583606330395,RUS
3,151.7037485180952,159.7258047218449,PIA
4,200.87781706759057,203.6902899178939,PIA
5,150.76395642971428,157.70311338666457,PIA
6,201.11267230911568,207.7686941060565,PIA
7,272.5120345537255,272.96044768778876,PIA
8,291.76935216592597,291.279183984644,RUS
9,280.29668304190477,282.87042234040405,PIA
10,229.5178835817143,244.9669755523365,PIA
11,232.46079496821082,247.38047578307092,PIA
12,216.11213653024154,223.33511417726987,PIA
13,177.12009993900836,183.05822811528313,PIA
14,133.37929741629628,133.96218677362336,PIA
15,132.74198361374636,134.77467405987724,PIA
16,192.92023347889307,198.34731058035476,PIA
17,268.15089172952383,270.85720768456497,PIA
18,191.98201449426128,226.24051435318563,PIA
19,112.20025302432676,111.52875001256021,RUS
20,202.71545651864733,202.91460848679768,PIA
21,186.66914149436624,189.0868283731593,PIA
22,245.19914958909808,241.9606006212196,RUS
23,275.4261378677618,279.92324644059437,PIA
24,303.37015721333336,303.2529772712925,RUS
25,313.51428571428573,315.47321462857144,PIA
