Minisector,ANT,HAD,Fastest
0,120.36998406965988,207.34468194539684,HAD
1,169.21698522412697,205.0,HAD
2,195.07535707428573,230.11320048610605,HAD
3,164.7021280587281,263.2036760470588,HAD
4,158.0174996254945,279.6671954850088,HAD
5,140.8012720551724,254.91301790476192,HAD
6,161.01608967416237,140.7984700342857,ANT
7,202.74583950589246,113.02030675111111,ANT
8,235.9824819681203,158.447998528,ANT
9,247.1744218074074,198.34754043357623,ANT
10,238.66666666666666,165.02620689655174,ANT
11,203.32703175141896,108.00288637234569,ANT
12,211.11545437090908,114.15814823703704,ANT
13,231.18300547724868,156.74154568145457,ANT
14,260.2614681695296,188.1299667617831,ANT
15,270.916513942071,154.05158338133333,ANT
16,252.4088200605042,123.35438945296154,ANT
17,134.6658169227031,148.956209611536,HAD
18,118.62656912653061,196.1837968214389,HAD
19,178.9203810242981,236.4443668083186,HAD
20,191.40090020444447,254.16118357894734,HAD
21,129.65368923428574,271.747332608,HAD
22,97.34251998355731,294.7142857142857,HAD
23,150.95742181942504,304.5964283428571,HAD
24,187.1968531809524,310.0,HAD
25,178.0,317.53939374545456,HAD
26,,323.46153846153845,HAD
27,,323.74571428571426,HAD
