Minisector,ANT,LAW,Fastest
0,120.36998406965988,238.154000128,LAW
1,169.21698522412697,222.00116483950617,LAW
2,195.07535707428573,205.41231885603864,LAW
3,164.7021280587281,218.38844840533335,LAW
4,158.0174996254945,242.42095370947368,LAW
5,140.8012720551724,259.8244446679365,LAW
6,161.01608967416237,270.6113636848485,LAW
7,202.74583950589246,212.37306642009233,LAW
8,235.9824819681203,129.45612901312742,ANT
9,247.1744218074074,121.33120725561497,ANT
10,238.66666666666666,167.75200116683948,ANT
11,203.32703175141896,173.0697238025974,ANT
12,211.11545437090908,114.326361638361,ANT
13,231.18300547724868,106.92034721777777,ANT
14,260.2614681695296,147.90038338697317,ANT
15,270.916513942071,177.7485998592,ANT
16,252.4088200605042,150.64285714285714,ANT
17,134.6658169227031,130.62953601263823,ANT
18,118.62656912653061,151.87172548961328,LAW
19,178.9203810242981,200.49820136450217,LAW
20,191.40090020444447,234.3385718247619,LAW
21,129.65368923428574,269.9668162714975,LAW
22,97.34251998355731,290.7420494802721,LAW
23,150.95742181942504,294.0,LAW
24,187.1968531809524,311.80823536941176,LAW
25,178.0,319.66505362571166,LAW
26,,323.0,LAW
27,,325.3118285157025,LAW
28,,318.8624992,LAW
