Minisector,ANT,LEC,Fastest
0,120.36998406965988,174.13065922633746,LEC
1,169.21698522412697,208.27132488246139,LEC
2,195.07535707428573,223.71638691555555,LEC
3,164.7021280587281,164.2876539654321,ANT
4,158.0174996254945,112.69613592076345,ANT
5,140.8012720551724,142.48077792164563,LEC
6,161.01608967416237,183.56378704457143,LEC
7,202.74583950589246,168.7250702262857,ANT
8,235.9824819681203,153.97721529914318,ANT
9,247.1744218074074,154.6324143912925,ANT
10,238.66666666666666,158.15807232207598,ANT
11,203.32703175141896,197.47107528689492,ANT
12,211.11545437090908,220.80169190977443,LEC
13,231.18300547724868,245.5200827348371,LEC
14,260.2614681695296,244.16083173468016,ANT
15,270.916513942071,215.0433013894737,ANT
16,252.4088200605042,219.0341173497702,ANT
17,134.6658169227031,230.98509024561406,LEC
18,118.62656912653061,269.635286528,LEC
19,178.9203810242981,283.13518565925926,LEC
20,191.40090020444447,234.71799428266667,LEC
21,129.65368923428574,135.8754817741428,LEC
22,97.34251998355731,116.89938179346406,LEC
23,150.95742181942504,165.6974119348148,LEC
24,187.1968531809524,193.83233660169037,LEC
25,178.0,131.59794906355208,ANT
