Minisector,LAW,LIN,Fastest
0,238.14666678857142,161.45214891,LAW
1,216.87047683091788,128.00725455931723,LAW
2,207.30493599726498,154.20717260715185,LAW
3,231.9941472888889,200.78222184296297,LAW
4,251.50324531649122,212.22526901885703,LAW
5,269.42678591564624,158.98778008684909,LAW
6,222.75780750188187,106.84858423536969,LAW
7,132.07540134857143,149.84211668645162,LIN
8,122.81280685252526,167.63443922721086,LIN
9,172.77765621854573,144.49944907929253,LAW
10,150.84087126914227,146.54213414141415,LAW
11,106.07548778146342,137.2933080121212,LIN
12,125.7228820888889,173.55073374984127,LIN
13,178.19032045948717,209.47210888707482,LIN
14,154.75,242.6693563752861,LIN
15,131.67927681191603,248.27812519999998,LIN
16,154.519750445103,193.81854999821243,LIN
17,208.95841720076191,202.8182430736784,LAW
18,245.21476247510205,226.0,LAW
19,280.45906865452895,261.2288887466667,LAW
20,293.3841146666667,268.851791424,LAW
21,305.09157901473685,210.9247094658385,LAW
22,318.7903560708907,141.395625,LAW
23,323.0,113.3416704,LAW
24,324.3378648051948,,LAW
25,313.1500032,,LAW
