X,Y,Minisector,Fastest
-1253.1947190790484,-296.80521093057433,0,LEC
-1305.0,-254.0,0,LEC
-1306.4297997527897,-252.8185976618757,0,LEC
-1305.0,-254.0,0,LEC
-1304.75503788666,-254.2024051360816,0,LEC
-1305.0,-254.0,0,LEC
-1305.052418790386,-253.95668785905715,0,LEC
-1305.0,-254.0,0,LEC
-1304.9464036870306,-254.04428514170493,0,LEC
-1304.9927061435342,-254.00602675773365,0,LEC
-1305.0,-254.0,0,LEC
-1305.0,-254.0,0,LEC
-1304.9995770982803,-254.00035067975895,0,LEC
-1305.0,-254.0,0,LEC
-1304.997942805335,-254.00169556934728,0,LEC
-1305.0,-254.0,0,LEC
-1305.022714517966,-253.98127533674887,0,LEC
-1305.0,-254.0,0,LEC
-1304.8646628582044,-254.11156522883365,0,LEC
-1305.0,-254.0,0,LEC
-1306.4529815539083,-252.80223394358953,0,LEC
-1305.0,-254.0,0,LEC
-1301.4246972375581,-256.9473025876172,0,LEC
-1305.0,-254.0,0,LEC
-1325.001295490118,-237.5119222415905,0,LEC
-1305.0,-254.0,0,LEC
-1188.5675298217332,-349.9811639628396,0,LEC
-1305.0,-254.0,1,LEC
-2717.1339914212936,910.0905332547661,1,LEC
-3434.0,1501.0,1,LEC
-3666.0,1692.0,1,LEC
-3657.227192902127,1684.751398166461,1,LEC
-3666.0,1692.0,1,LEC
-3670.320104895456,1695.5695012313197,1,LEC
-3666.3920668617725,1692.3239277469888,1,LEC
-3666.0,1692.0,1,LEC
-3665.885140412334,1691.9052287971629,1,LEC
-3666.0,1692.0,1,LEC
-3666.504588366899,1692.4159808257739,1,LEC
-3666.0,1692.0,1,LEC
-3665.7251052715733,1691.773556760194,1,LEC
-3666.0,1692.0,1,LEC
-3677.5929502587014,1701.5496141904707,1,LEC
-3666.0,1692.0,1,LEC
-3447.013415898177,1511.6112931145803,1,LEC
-3666.0,1692.0,1,LEC
-5100.538189288037,2873.6910584294637,2,LEC
-5317.0,3052.0,2,LEC
-5500.62527943461,3203.260072683896,2,LEC
-5323.103957400239,3057.0280933151594,2,LEC
-5317.0,3052.0,2,LEC
-5316.2207928832,3051.358133447172,2,LEC
-5317.0,3052.0,2,LEC
-5317.0,3052.0,2,LEC
-5316.158750351336,3051.3070263343143,2,LEC
-5317.0,3052.0,2,LEC
-5317.0593771397635,3052.048911514275,2,LEC
-5317.0,3052.0,2,LEC
-5316.979901478638,3051.983443979982,2,LEC
-5317.0,3052.0,2,LEC
-5317.0047817393415,3052.0039389251974,2,LEC
-5317.0,3052.0,2,LEC
-5316.9997204109695,3051.9997696904447,2,LEC
-5317.0,3052.0,2,LEC
-5317.000109192871,3052.000089946868,2,LEC
-5317.000003167575,3052.000002609259,2,LEC
-5317.0,3052.0,2,LEC
-5316.999991772564,3051.999993222947,3,HUL
-5317.0,3052.0,3,HUL
-5317.000003518573,3052.000002897831,3,HUL
-5317.0000014701445,3052.000001208672,3,HUL
-5317.0,3052.0,3,HUL
-5316.999999028322,3051.9999992094554,3,HUL
-5316.999999986919,3051.9999999915426,3,HUL
-5317.0,3052.0,3,HUL
-5317.0,3052.0,3,HUL
-5316.9999999937245,3052.0000000079954,3,HUL
-5317.0,3052.0,3,HUL
