Minisector,NOR,HUL,Fastest
0,292.45572067927134,136.1361076329129,NOR
1,312.4125,181.91275935386972,NOR
2,326.65256418461536,232.93278217549405,NOR
3,335.1671849196639,267.44750048000003,NOR
4,337.7085714285714,287.291228219883,NOR
5,314.43352255584415,305.8560003413333,NOR
6,220.30076098228955,313.98193984214043,HUL
7,103.94505097142857,322.392333568,HUL
8,101.93294131814159,327.5267859047619,HUL
9,199.5208016227343,331.0,HUL
10,238.4748018285714,239.47134827826085,HUL
11,263.52751893172933,120.5812062947846,NOR
12,261.9262464242955,100.80074797835498,NOR
13,165.49720396087827,181.34585829384125,HUL
14,114.2168351847619,241.4781106552381,HUL
15,134.32363141333332,260.5919051842177,HUL
16,202.8448888888889,246.58937424,HUL
17,233.36440222608698,157.87643168433047,NOR
18,239.03148157037037,116.51539755127656,NOR
19,219.20671817333334,153.41258570884355,NOR
20,209.82440664565658,201.6316008448,NOR
21,244.27493089777778,241.5320459927273,NOR
22,259.29453128,269.3663309320858,HUL
23,263.49901711383217,284.41863685818186,HUL
24,180.06720978962963,301.7038889244444,HUL
25,,301.2817447619048,HUL
