Minisector,NOR,RUS,Fastest
0,292.45572067927134,120.31650979091788,NOR
1,312.4125,169.9060814952406,NOR
2,326.65256418461536,210.57042564019136,NOR
3,335.1671849196639,240.29428481854742,NOR
4,337.7085714285714,270.22624745941044,NOR
5,314.43352255584415,288.20862318518516,NOR
6,220.30076098228955,295.98177494995673,RUS
7,103.94505097142857,268.8005985491677,RUS
8,101.93294131814159,237.4879837090909,RUS
9,199.5208016227343,199.5679338057143,RUS
10,238.4748018285714,200.50185189135803,NOR
11,263.52751893172933,148.78516592034617,NOR
12,261.9262464242955,135.24101479738562,NOR
13,165.49720396087827,186.9250016,RUS
14,114.2168351847619,221.0755122592599,RUS
15,134.32363141333332,153.1315057477017,RUS
16,202.8448888888889,113.32860109569161,NOR
17,233.36440222608698,159.3706506980392,NOR
18,239.03148157037037,189.58437408,NOR
19,219.20671817333334,159.05299743991324,NOR
20,209.82440664565658,146.23696552478634,NOR
21,244.27493089777778,175.4876352688172,NOR
22,259.29453128,200.4193627711856,NOR
23,263.49901711383217,,NOR
24,180.06720978962963,,NOR
