Minisector,PIA,LEC,Fastest
0,280.6564407901821,295.1000520590981,LEC
1,144.48253152200343,155.13144862328505,LEC
2,173.04353611917287,164.54794772653125,PIA
3,245.16478699359305,232.91925184922454,PIA
4,265.8651483679481,255.06273969862434,PIA
5,233.62794727009523,237.96922786573276,LEC
6,213.67992098344817,214.5577044782485,LEC
7,145.680931758557,140.4592635884263,PIA
8,226.58418932465457,226.10323745876576,PIA
9,297.890006321207,297.09194533595024,PIA
10,319.68921594472,320.1499999604938,LEC
11,317.5795049584541,317.4342263036415,PIA
12,310.40809946326823,310.9306987045926,LEC
13,305.1647382829329,306.4355555555556,LEC
14,124.90515872921749,125.52521054624658,LEC
15,119.93053665269564,116.16762891560697,PIA
16,104.09452662443785,107.67991009594935,LEC
17,239.29787287238244,242.60752225215384,LEC
18,303.64756201379316,305.7186973579832,LEC
19,322.11592244705884,320.63208849329607,PIA
20,321.85768775306826,315.87031698285716,PIA
21,315.4691607828571,311.8353071719298,PIA
22,115.42304142454945,120.71366020816195,LEC
23,210.11380937477773,208.9406044274415,PIA
24,273.6965995699501,278.94224939343434,LEC
25,286.2,,PIA
