Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:21.490000,GAS,10,0 days 00:01:52.727000,1.0,1.0,,,,0 days 00:00:46.099000,0 days 00:00:43.533000,,0 days 00:34:38.058000,0 days 00:35:22.111000,262.0,261.0,212.0,282.0,False,SOFT,4.0,False,AlphaTauri,0 days 00:33:28.601000,,1,10.0,,,False,False
0 days 00:37:06.318000,GAS,10,0 days 00:01:44.828000,2.0,1.0,,,0 days 00:00:18.497000,0 days 00:00:43.988000,0 days 00:00:42.343000,0 days 00:35:39.998000,0 days 00:36:23.986000,0 days 00:37:06.329000,273.0,296.0,214.0,317.0,True,SOFT,5.0,False,AlphaTauri,0 days 00:35:21.490000,,1,9.0,,,False,True
0 days 00:38:50.935000,GAS,10,0 days 00:01:44.617000,3.0,1.0,,,0 days 00:00:18.237000,0 days 00:00:43.856000,0 days 00:00:42.524000,0 days 00:37:24.566000,0 days 00:38:08.422000,0 days 00:38:50.946000,274.0,285.0,214.0,306.0,True,SOFT,6.0,False,AlphaTauri,0 days 00:37:06.318000,,1,9.0,,,False,True
0 days 00:40:35.221000,GAS,10,0 days 00:01:44.286000,4.0,1.0,,,0 days 00:00:18.214000,0 days 00:00:43.867000,0 days 00:00:42.205000,0 days 00:39:09.160000,0 days 00:39:53.027000,0 days 00:40:35.232000,275.0,298.0,213.0,294.0,True,SOFT,7.0,False,AlphaTauri,0 days 00:38:50.935000,,1,9.0,,,False,True
0 days 00:42:19.741000,GAS,10,0 days 00:01:44.520000,5.0,1.0,,,0 days 00:00:18.181000,0 days 00:00:44.103000,0 days 00:00:42.236000,0 days 00:40:53.413000,0 days 00:41:37.516000,0 days 00:42:19.752000,276.0,293.0,214.0,305.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:40:35.221000,,1,9.0,,,False,True
0 days 00:44:04.364000,GAS,10,0 days 00:01:44.623000,6.0,1.0,,,0 days 00:00:18.264000,0 days 00:00:43.807000,0 days 00:00:42.552000,0 days 00:42:38.016000,0 days 00:43:21.823000,0 days 00:44:04.375000,275.0,293.0,213.0,315.0,False,SOFT,9.0,False,AlphaTauri,0 days 00:42:19.741000,,1,9.0,,,False,True
0 days 00:45:48.994000,GAS,10,0 days 00:01:44.630000,7.0,1.0,,,0 days 00:00:18.257000,0 days 00:00:43.859000,0 days 00:00:42.514000,0 days 00:44:22.632000,0 days 00:45:06.491000,0 days 00:45:49.005000,276.0,299.0,214.0,318.0,False,SOFT,10.0,False,AlphaTauri,0 days 00:44:04.364000,,1,9.0,,,False,True
0 days 00:47:34.851000,GAS,10,0 days 00:01:45.857000,8.0,1.0,,,0 days 00:00:18.286000,0 days 00:00:44.021000,0 days 00:00:43.550000,0 days 00:46:07.291000,0 days 00:46:51.312000,0 days 00:47:34.862000,276.0,300.0,212.0,319.0,False,SOFT,11.0,False,AlphaTauri,0 days 00:45:48.994000,,1,9.0,,,False,True
0 days 00:49:19.833000,GAS,10,0 days 00:01:44.982000,9.0,1.0,,,0 days 00:00:18.434000,0 days 00:00:44.084000,0 days 00:00:42.464000,0 days 00:47:53.296000,0 days 00:48:37.380000,0 days 00:49:19.844000,276.0,298.0,214.0,330.0,False,SOFT,12.0,False,AlphaTauri,0 days 00:47:34.851000,,12,8.0,,,False,True
0 days 00:51:34.464000,GAS,10,0 days 00:02:14.631000,10.0,1.0,,0 days 00:51:33.478000,0 days 00:00:18.381000,0 days 00:00:59.036000,0 days 00:00:57.214000,0 days 00:49:38.225000,0 days 00:50:37.261000,0 days 00:51:34.475000,265.0,183.0,,181.0,False,SOFT,13.0,False,AlphaTauri,0 days 00:49:19.833000,,26,8.0,,,False,False
0 days 00:54:12.805000,GAS,10,,11.0,2.0,0 days 00:51:55.484000,,0 days 00:00:44.069000,0 days 00:00:55.875000,0 days 00:00:58.400000,0 days 00:52:18.550000,0 days 00:53:14.464000,0 days 00:54:12.957000,156.0,234.0,146.0,239.0,False,HARD,1.0,True,AlphaTauri,0 days 00:51:34.464000,,64,11.0,,,False,False
0 days 00:56:35.527000,GAS,10,0 days 00:02:22.722000,12.0,2.0,,,0 days 00:00:26.707000,0 days 00:01:01.085000,0 days 00:00:54.930000,0 days 00:54:39.523000,0 days 00:55:40.608000,0 days 00:56:35.538000,237.0,147.0,115.0,242.0,False,HARD,2.0,True,AlphaTauri,0 days 00:54:12.805000,,4,11.0,,,False,False
0 days 00:59:00.314000,GAS,10,0 days 00:02:24.787000,13.0,2.0,,,0 days 00:00:25.598000,0 days 00:01:03.478000,0 days 00:00:55.711000,0 days 00:57:01.136000,0 days 00:58:04.614000,0 days 00:59:00.325000,158.0,164.0,215.0,276.0,False,HARD,3.0,True,AlphaTauri,0 days 00:56:35.527000,,41,11.0,,,False,False
0 days 01:00:46.927000,GAS,10,0 days 00:01:46.613000,14.0,2.0,,,0 days 00:00:18.783000,0 days 00:00:44.413000,0 days 00:00:43.417000,0 days 00:59:19.108000,0 days 01:00:03.521000,0 days 01:00:46.938000,287.0,269.0,213.0,306.0,False,HARD,4.0,True,AlphaTauri,0 days 00:59:00.314000,,1,11.0,,,False,True
0 days 01:02:31.882000,GAS,10,0 days 00:01:44.955000,15.0,2.0,,,0 days 00:00:18.440000,0 days 00:00:44.010000,0 days 00:00:42.505000,0 days 01:01:05.378000,0 days 01:01:49.388000,0 days 01:02:31.893000,276.0,281.0,215.0,298.0,False,HARD,5.0,True,AlphaTauri,0 days 01:00:46.927000,,1,11.0,,,False,True
0 days 01:04:16.394000,GAS,10,0 days 00:01:44.512000,16.0,2.0,,,0 days 00:00:18.256000,0 days 00:00:43.462000,0 days 00:00:42.794000,0 days 01:02:50.149000,0 days 01:03:33.611000,0 days 01:04:16.405000,277.0,296.0,216.0,323.0,False,HARD,6.0,True,AlphaTauri,0 days 01:02:31.882000,,1,11.0,,,False,True
0 days 01:06:00.855000,GAS,10,0 days 00:01:44.461000,17.0,2.0,,,0 days 00:00:18.207000,0 days 00:00:43.480000,0 days 00:00:42.774000,0 days 01:04:34.612000,0 days 01:05:18.092000,0 days 01:06:00.866000,275.0,278.0,214.0,321.0,False,HARD,7.0,True,AlphaTauri,0 days 01:04:16.394000,,1,11.0,,,False,True
