Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:01:19.630000,VER,1,0 days 00:01:35.505000,1.0,1.0,,,,0 days 00:00:29.707000,0 days 00:00:29.830000,,0 days 01:00:49.948000,0 days 01:01:19.666000,284.0,294.0,290.0,298.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:59:43.836000,,1,1.0,,,False,False
0 days 01:02:53.835000,VER,1,0 days 00:01:34.205000,2.0,1.0,,,0 days 00:00:34.720000,0 days 00:00:29.628000,0 days 00:00:29.857000,0 days 01:01:54.386000,0 days 01:02:24.014000,0 days 01:02:53.871000,284.0,296.0,291.0,302.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:01:19.630000,,1,1.0,,,False,True
0 days 01:04:27.878000,VER,1,0 days 00:01:34.043000,3.0,1.0,,,0 days 00:00:34.530000,0 days 00:00:29.621000,0 days 00:00:29.892000,0 days 01:03:28.401000,0 days 01:03:58.022000,0 days 01:04:27.914000,285.0,296.0,292.0,302.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:02:53.835000,,1,1.0,,,False,True
0 days 01:06:01.632000,VER,1,0 days 00:01:33.754000,4.0,1.0,,,0 days 00:00:34.416000,0 days 00:00:29.541000,0 days 00:00:29.797000,0 days 01:05:02.330000,0 days 01:05:31.871000,0 days 01:06:01.668000,285.0,298.0,292.0,303.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:04:27.878000,,1,1.0,,,False,True
0 days 01:07:35.587000,VER,1,0 days 00:01:33.955000,5.0,1.0,,,0 days 00:00:34.457000,0 days 00:00:29.590000,0 days 00:00:29.908000,0 days 01:06:36.125000,0 days 01:07:05.715000,0 days 01:07:35.623000,284.0,296.0,292.0,302.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:06:01.632000,,1,1.0,,,False,True
0 days 01:09:09.263000,VER,1,0 days 00:01:33.676000,6.0,1.0,,,0 days 00:00:34.355000,0 days 00:00:29.545000,0 days 00:00:29.776000,0 days 01:08:09.978000,0 days 01:08:39.523000,0 days 01:09:09.299000,286.0,297.0,291.0,303.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:07:35.587000,,1,1.0,,,False,True
0 days 01:11:12.182000,VER,1,0 days 00:02:02.919000,7.0,1.0,,0 days 01:11:11.053000,0 days 00:00:34.467000,0 days 00:00:41.316000,0 days 00:00:47.136000,0 days 01:09:43.766000,0 days 01:10:25.082000,0 days 01:11:12.218000,286.0,123.0,,228.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:09.263000,,124,1.0,,,False,False
0 days 01:14:21.360000,VER,1,,8.0,2.0,0 days 01:11:31.721000,,0 days 00:01:13.947000,0 days 00:00:57.475000,0 days 00:00:57.661000,0 days 01:12:26.260000,0 days 01:13:23.755000,0 days 01:14:21.399000,158.0,96.0,229.0,130.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:11:12.182000,,4,2.0,,,False,False
0 days 01:17:02.249000,VER,1,,9.0,2.0,,,0 days 00:00:56.642000,0 days 00:00:49.042000,0 days 00:00:55.311000,0 days 01:15:18.035000,0 days 01:16:07.100000,0 days 01:17:02.504000,183.0,131.0,276.0,141.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:14:21.360000,,41,2.0,,,False,False
0 days 01:18:37.273000,VER,1,0 days 00:01:35.024000,10.0,2.0,,,0 days 00:00:35.648000,0 days 00:00:29.514000,0 days 00:00:29.862000,0 days 01:17:37.933000,0 days 01:18:07.447000,0 days 01:18:37.309000,286.0,311.0,293.0,303.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:17:02.249000,,1,2.0,,,False,True
0 days 01:20:10.883000,VER,1,0 days 00:01:33.610000,11.0,2.0,,,0 days 00:00:34.555000,0 days 00:00:29.427000,0 days 00:00:29.628000,0 days 01:19:11.864000,0 days 01:19:41.291000,0 days 01:20:10.919000,287.0,299.0,305.0,304.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:18:37.273000,,1,2.0,,,False,True
0 days 01:21:44.204000,VER,1,0 days 00:01:33.321000,12.0,2.0,,,0 days 00:00:34.391000,0 days 00:00:29.239000,0 days 00:00:29.691000,0 days 01:20:45.310000,0 days 01:21:14.549000,0 days 01:21:44.240000,288.0,318.0,306.0,328.0,True,HARD,5.0,True,Red Bull Racing,0 days 01:20:10.883000,,1,2.0,,,False,True
0 days 01:23:17.348000,VER,1,0 days 00:01:33.144000,13.0,2.0,,,0 days 00:00:34.096000,0 days 00:00:29.411000,0 days 00:00:29.637000,0 days 01:22:18.336000,0 days 01:22:47.747000,0 days 01:23:17.384000,286.0,298.0,292.0,302.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:21:44.204000,,1,1.0,,,False,True
0 days 01:24:50.542000,VER,1,0 days 00:01:33.194000,14.0,2.0,,,0 days 00:00:34.303000,0 days 00:00:29.274000,0 days 00:00:29.617000,0 days 01:23:51.687000,0 days 01:24:20.961000,0 days 01:24:50.578000,284.0,298.0,292.0,304.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:23:17.348000,,1,1.0,,,False,True
0 days 01:26:24.054000,VER,1,0 days 00:01:33.512000,15.0,2.0,,,0 days 00:00:34.320000,0 days 00:00:29.438000,0 days 00:00:29.754000,0 days 01:25:24.898000,0 days 01:25:54.336000,0 days 01:26:24.090000,284.0,293.0,292.0,298.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:24:50.542000,,1,1.0,,,False,True
0 days 01:27:57.246000,VER,1,0 days 00:01:33.192000,16.0,2.0,,,0 days 00:00:34.239000,0 days 00:00:29.383000,0 days 00:00:29.570000,0 days 01:26:58.329000,0 days 01:27:27.712000,0 days 01:27:57.282000,287.0,297.0,292.0,302.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:26:24.054000,,1,1.0,,,False,True
0 days 01:29:30.305000,VER,1,0 days 00:01:33.059000,17.0,2.0,,,0 days 00:00:34.134000,0 days 00:00:29.333000,0 days 00:00:29.592000,0 days 01:28:31.416000,0 days 01:29:00.749000,0 days 01:29:30.341000,288.0,298.0,292.0,304.0,True,HARD,10.0,True,Red Bull Racing,0 days 01:27:57.246000,,1,1.0,,,False,True
0 days 01:31:03.444000,VER,1,0 days 00:01:33.139000,18.0,2.0,,,0 days 00:00:34.172000,0 days 00:00:29.330000,0 days 00:00:29.637000,0 days 01:30:04.513000,0 days 01:30:33.843000,0 days 01:31:03.480000,288.0,299.0,293.0,303.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:29:30.305000,,1,1.0,,,False,True
0 days 01:32:36.579000,VER,1,0 days 00:01:33.135000,19.0,2.0,,,0 days 00:00:34.172000,0 days 00:00:29.375000,0 days 00:00:29.588000,,0 days 01:32:07.027000,0 days 01:32:36.615000,289.0,298.0,292.0,302.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:31:03.444000,,1,1.0,,,False,True
0 days 01:34:09.645000,VER,1,0 days 00:01:33.066000,20.0,2.0,,,0 days 00:00:34.155000,0 days 00:00:29.384000,0 days 00:00:29.527000,0 days 01:33:10.770000,0 days 01:33:40.154000,0 days 01:34:09.681000,289.0,298.0,293.0,304.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:32:36.579000,,1,1.0,,,False,True
0 days 01:35:42.578000,VER,1,0 days 00:01:32.933000,21.0,2.0,,,0 days 00:00:34.129000,0 days 00:00:29.281000,0 days 00:00:29.523000,0 days 01:34:43.810000,0 days 01:35:13.091000,0 days 01:35:42.614000,288.0,299.0,293.0,304.0,True,HARD,14.0,True,Red Bull Racing,0 days 01:34:09.645000,,1,1.0,,,False,True
0 days 01:37:15.558000,VER,1,0 days 00:01:32.980000,22.0,2.0,,,0 days 00:00:34.195000,0 days 00:00:29.241000,0 days 00:00:29.544000,0 days 01:36:16.809000,0 days 01:36:46.050000,0 days 01:37:15.594000,288.0,298.0,293.0,303.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:35:42.578000,,1,1.0,,,False,True
0 days 01:38:48.350000,VER,1,0 days 00:01:32.792000,23.0,2.0,,,0 days 00:00:34.024000,0 days 00:00:29.214000,0 days 00:00:29.554000,0 days 01:37:49.618000,0 days 01:38:18.832000,0 days 01:38:48.386000,290.0,298.0,293.0,303.0,True,HARD,16.0,True,Red Bull Racing,0 days 01:37:15.558000,,1,1.0,,,False,True
0 days 01:40:21.033000,VER,1,0 days 00:01:32.683000,24.0,2.0,,,0 days 00:00:33.956000,0 days 00:00:29.191000,0 days 00:00:29.536000,0 days 01:39:22.342000,0 days 01:39:51.533000,0 days 01:40:21.069000,289.0,299.0,292.0,304.0,True,HARD,17.0,True,Red Bull Racing,0 days 01:38:48.350000,,1,1.0,,,False,True
0 days 01:41:53.818000,VER,1,0 days 00:01:32.785000,25.0,2.0,,,0 days 00:00:34.120000,0 days 00:00:29.170000,0 days 00:00:29.495000,0 days 01:40:55.189000,0 days 01:41:24.359000,0 days 01:41:53.854000,289.0,299.0,293.0,305.0,False,HARD,18.0,True,Red Bull Racing,0 days 01:40:21.033000,,1,1.0,,,False,True
0 days 01:43:26.379000,VER,1,0 days 00:01:32.561000,26.0,2.0,,,0 days 00:00:33.949000,0 days 00:00:29.144000,0 days 00:00:29.468000,0 days 01:42:27.803000,0 days 01:42:56.947000,0 days 01:43:26.415000,290.0,300.0,294.0,306.0,True,HARD,19.0,True,Red Bull Racing,0 days 01:41:53.818000,,1,1.0,,,False,True
0 days 01:44:59.101000,VER,1,0 days 00:01:32.722000,27.0,2.0,,,0 days 00:00:34.033000,0 days 00:00:29.197000,0 days 00:00:29.492000,0 days 01:44:00.448000,0 days 01:44:29.645000,0 days 01:44:59.137000,289.0,299.0,293.0,305.0,False,HARD,20.0,True,Red Bull Racing,0 days 01:43:26.379000,,1,1.0,,,False,True
0 days 01:46:31.775000,VER,1,0 days 00:01:32.674000,28.0,2.0,,,0 days 00:00:33.962000,0 days 00:00:29.194000,0 days 00:00:29.518000,0 days 01:45:33.099000,0 days 01:46:02.293000,0 days 01:46:31.811000,290.0,300.0,293.0,306.0,False,HARD,21.0,True,Red Bull Racing,0 days 01:44:59.101000,,1,1.0,,,False,True
0 days 01:48:04.527000,VER,1,0 days 00:01:32.752000,29.0,2.0,,,0 days 00:00:33.939000,0 days 00:00:29.126000,0 days 00:00:29.687000,0 days 01:47:05.750000,0 days 01:47:34.876000,0 days 01:48:04.563000,290.0,300.0,293.0,304.0,False,HARD,22.0,True,Red Bull Racing,0 days 01:46:31.775000,,1,1.0,,,False,True
0 days 01:49:37.128000,VER,1,0 days 00:01:32.601000,30.0,2.0,,,0 days 00:00:33.902000,0 days 00:00:29.221000,0 days 00:00:29.478000,0 days 01:48:38.465000,0 days 01:49:07.686000,0 days 01:49:37.164000,290.0,300.0,294.0,306.0,False,HARD,23.0,True,Red Bull Racing,0 days 01:48:04.527000,,1,1.0,,,False,True
0 days 01:51:09.582000,VER,1,0 days 00:01:32.454000,31.0,2.0,,,0 days 00:00:33.899000,0 days 00:00:29.138000,0 days 00:00:29.417000,0 days 01:50:11.063000,0 days 01:50:40.201000,0 days 01:51:09.618000,290.0,300.0,295.0,305.0,True,HARD,24.0,True,Red Bull Racing,0 days 01:49:37.128000,,1,1.0,,,False,True
0 days 01:52:42.127000,VER,1,0 days 00:01:32.545000,32.0,2.0,,,0 days 00:00:33.990000,0 days 00:00:29.125000,0 days 00:00:29.430000,0 days 01:51:43.608000,0 days 01:52:12.733000,0 days 01:52:42.163000,291.0,303.0,294.0,306.0,False,HARD,25.0,True,Red Bull Racing,0 days 01:51:09.582000,,1,1.0,,,False,True
0 days 01:54:14.436000,VER,1,0 days 00:01:32.309000,33.0,2.0,,,0 days 00:00:33.856000,0 days 00:00:29.071000,0 days 00:00:29.382000,0 days 01:53:16.019000,0 days 01:53:45.090000,0 days 01:54:14.472000,291.0,301.0,295.0,305.0,True,HARD,26.0,True,Red Bull Racing,0 days 01:52:42.127000,,1,1.0,,,False,True
0 days 01:55:46.994000,VER,1,0 days 00:01:32.558000,34.0,2.0,,,0 days 00:00:33.918000,0 days 00:00:29.188000,0 days 00:00:29.452000,0 days 01:54:48.390000,0 days 01:55:17.578000,0 days 01:55:47.030000,291.0,303.0,295.0,307.0,False,HARD,27.0,True,Red Bull Racing,0 days 01:54:14.436000,,1,1.0,,,False,True
0 days 01:57:19.530000,VER,1,0 days 00:01:32.536000,35.0,2.0,,,0 days 00:00:34,0 days 00:00:29.147000,0 days 00:00:29.389000,0 days 01:56:21.030000,0 days 01:56:50.177000,0 days 01:57:19.566000,291.0,305.0,296.0,308.0,False,HARD,28.0,True,Red Bull Racing,0 days 01:55:46.994000,,1,1.0,,,False,True
0 days 01:58:51.943000,VER,1,0 days 00:01:32.413000,36.0,2.0,,,0 days 00:00:33.965000,0 days 00:00:29.074000,0 days 00:00:29.374000,0 days 01:57:53.531000,0 days 01:58:22.605000,0 days 01:58:51.979000,292.0,302.0,296.0,307.0,False,HARD,29.0,True,Red Bull Racing,0 days 01:57:19.530000,,1,1.0,,,False,True
0 days 02:00:24.355000,VER,1,0 days 00:01:32.412000,37.0,2.0,,,0 days 00:00:33.887000,0 days 00:00:29.026000,0 days 00:00:29.499000,0 days 01:59:25.866000,0 days 01:59:54.892000,0 days 02:00:24.391000,291.0,303.0,295.0,307.0,False,HARD,30.0,True,Red Bull Racing,0 days 01:58:51.943000,,1,1.0,,,False,True
0 days 02:01:56.651000,VER,1,0 days 00:01:32.296000,38.0,2.0,,,0 days 00:00:33.875000,0 days 00:00:29.067000,0 days 00:00:29.354000,0 days 02:00:58.266000,0 days 02:01:27.333000,0 days 02:01:56.687000,292.0,303.0,296.0,308.0,True,HARD,31.0,True,Red Bull Racing,0 days 02:00:24.355000,,1,1.0,,,False,True
0 days 02:03:28.646000,VER,1,0 days 00:01:31.995000,39.0,2.0,,,0 days 00:00:33.743000,0 days 00:00:28.987000,0 days 00:00:29.265000,0 days 02:02:30.430000,0 days 02:02:59.417000,0 days 02:03:28.682000,293.0,304.0,296.0,307.0,True,HARD,32.0,True,Red Bull Racing,0 days 02:01:56.651000,,1,1.0,,,False,True
0 days 02:05:01.201000,VER,1,0 days 00:01:32.555000,40.0,2.0,,,0 days 00:00:34.039000,0 days 00:00:29.096000,0 days 00:00:29.420000,0 days 02:04:02.721000,0 days 02:04:31.817000,0 days 02:05:01.237000,291.0,304.0,295.0,308.0,False,HARD,33.0,True,Red Bull Racing,0 days 02:03:28.646000,,1,1.0,,,False,True
